,Make,Model,Body style,Year,Car location,Mileage,Transmission,Steering wheel,State,Color,Engine,Engine volume,Interior color,Doors,Power,Wheels,Drive,Cylinders,VIN Code
142,Toyota,Camry,Sedan,2009,"Armenia, Երևան",220 km,Automatic,Left,Good,Black,Petrol,2.5,Gray,,,"16""",Front,,
143,Mercedes-Benz,250,Coupe,2012,"Armenia, Yerevan",89000 mile,Automatic,Left,Excellent,White,Petrol,2.5,Black,2,,"20""",Rear,4,
144,Porsche,Cayenne,SUV,2006,"Armenia, Երևան",144000 km,Automatic,Left,Excellent,White,Petrol,4.5,Beige,4,240350,"22""",All,4,
145,Mercedes-Benz,R-Class,Wagon,2006,"Armenia, Երևան",300 km,Automatic,Left,Normal,Blue,Petrol,3.5,Beige,5,272,"17""",All,6,
146,Ford,Focus,Hatchback,2006,"Armenia, Էջմիածին",250000 km,Manual,Left,Normal,Black,,,,,,,,,
147,Audi,Q7,SUV,2010,"Armenia, Երևան",71000 mile,Automatic,Left,Excellent,Black,Petrol,3.6,Black,5,,"19""",All,6,
148,Ford,Escape,Hatchback,2012,"Armenia, Երևան",160000 km,Automatic,Left,Good,Black,Petrol,3,Beige,5,240,"17""",All,6,1fmcu9dg5cka80249
149,Kia,Forte,Sedan,2012,"Armenia, Աշտարակ",160000 km,Manual,Left,Good,White,Petrol,1.6,Black,4,124,"17""",Front,4,
150,Mercedes-Benz,C-Class,Sedan,1997,"Armenia, Չարենցավան",195000 km,Manual,Left,Excellent,Other color,Gas,2,Black,,136,"16""",Rear,4,
151,Honda,Accord,Sedan,2013,"Armenia, Երևան",9999 km,Automatic,Left,Excellent,Silver,,,,,,,,,
152,Ford,Focus,Sedan,2012,"Armenia, Ջերմուկ",168000 km,Automatic,Left,Normal,White,,,,,,,,,
153,Jeep,Grand Cherokee,SUV,2000,"Armenia, Գյումրի",127500 km,Automatic,Left,Normal,Blue,,,,,,,,,
154,Opel,Vectra,Sedan,1998,"Armenia, Էջմիածին",280000 km,Manual,Left,Normal,Silver,,,,,,,,,
155,SsangYong,Other,SUV,2008,"Armenia, Մասիս",200000 km,Automatic,Left,Good,Gold,,,,,,,,,
156,Nissan,Pathfinder,SUV,2006,"Armenia, Մասիս",232000 km,Automatic,Left,Good,Black,Petrol,4,Black,5,269,"17""",All,6,
157,Nissan,Skyline,Sedan,2004,"Armenia, Երևան",230000 km,Automatic,Right,Excellent,Black,Gas,2.5,Black,4,215,"19""",Rear,,
158,Subaru,Impreza,Sedan,2012,"Armenia, Երևան",126000 mile,CVT,Left,Excellent,White,,,,,,,,,
159,Suzuki,Grand Vitara,SUV,2006,"Armenia, Երևան",190 mile,Automatic,Left,Normal,Gold,,,,,,,,,
160,BMW,328,Sedan,2009,"Armenia, Երևան",177654 km,Automatic,Left,Good,Gray,,,,,,,,,
161,Tesla,Model X,SUV,2016,"Armenia, Երևան",48022 km,Automatic,Left,Excellent,Gray,,,,,,,,,
162,Mercedes-Benz,E 350,Sedan,2006,"Armenia, Սպիտակ",30000 km,Automatic,Left,Excellent,Black,,,,,,,,,
163,Toyota,Rav 4,Wagon,2009,"Armenia, Աբովյան",170 mile,Automatic,Left,Good,White,,,,,,,,,
164,Mercedes-Benz,GLC-Class,SUV,2019,"Georgia, Georgia",16250 mile,Automatic,Left,Excellent,Gray,,,,,,,,,
165,Land Rover,Range Rover,Wagon,2019,"Armenia, Երևան",52000 km,Automatic,Left,Good,Black,,,,,,,,,
166,Ford,Օther,Coupe,2001,"Armenia, Գյումրի",313000 km,Manual,Left,Excellent,Silver,,,,,,,,,
167,Chevrolet,Malibu,Sedan,2018,"Russia, Ռուսաստան",88000 km,Automatic,Left,Excellent,Silver,,,,,,,,,
168,VAZ(Lada),2107,Sedan,2005,"Armenia, Գյումրի",50000 km,Manual,Left,Excellent,White,Petrol,1.6,,,,,,,
169,Opel,Astra,Sedan,2000,"Armenia, Աշտարակ",24000 km,Manual,Left,Normal,Blue,Gas,1.6,Black,4,89,"15""",Front,16,
170,Mercedes-Benz,180,Sedan,1994,"Armenia, Երևան",470000 km,Automatic,Left,Good,White,Petrol,1.8,Blue,4,,,,,
171,Ford,Fusion,Sedan,2016,"Armenia, Արարատ",110000 mile,Automatic,Left,Good,White,Petrol,2.5,Black,4,175,"17""",Rear,4,
172,Fiat,Stilo,Coupe,2003,"Armenia, Երևան",75 km,Manual,Left,Normal,Gray,,,,,,,,,
173,Chevrolet,Cruze,Sedan,2017,"Georgia, Georgia",129000 km,Automatic,Left,Good,Black,,,,,,,,,
174,VAZ(Lada),2112,Hatchback,2006,"Armenia, Աբովյան",124568 km,Manual,Left,Normal,Black,Petrol,1.6,Black,5,80,"14""",Front,4,
175,Kia,Optima,Sedan,2011,"Armenia, Երևան",167000 mile,Automatic,Left,Good,Cherry,,,,,,,,,
176,Toyota,Prius,Hatchback,2010,"Georgia, Georgia",171000 mile,Automatic,Left,Good,Blue,Hybrid,1.8,Gray,5,134,"15""",Front,4,
177,Mercedes-Benz,124,Sedan,1994,"Armenia, Երևան",240000 km,Automatic,Left,Good,Silver,,,,,,,,,
178,BMW,X6,SUV,2011,"Georgia, Georgia",135000 km,Automatic,Left,Excellent,Black,Petrol,4.8,Black,5,545,"22""",All,8,
179,Volkswagen,Օther,Wagon,2022,"Armenia, Երևան",50 km,Automatic,Left,Excellent,White,,,,,,,,,
180,Ford,Օther,Pickup,2018,"Georgia, Georgia",130000 km,Automatic,Left,Excellent,Gray,Petrol,3.5,Black,4,650,"17""",All,6,
181,Audi,A6,Sedan,2010,"Armenia, Երևան",110000 km,Automatic,Left,Good,Black,,,,,,,,,
182,Mercedes-Benz,E 200,Sedan,1997,"Armenia, Երևան",400000 km,Manual,Left,Good,Silver,,,,,,,,,
183,Mercedes-Benz,GLC 43 AMG,SUV,2018,"Georgia, Georgia",63000 km,Automatic,Left,Excellent,Black,,,,,,,,,
184,Ford,Fusion,Sedan,2020,"Armenia, Երևան",24500 mile,Automatic,Left,Excellent,Other color,Petrol,1.5,Black,4,181,"17""",Front,4,
185,Mercedes-Benz,180,Sedan,1994,"Armenia, Երևան",250 km,Manual,Left,Normal,Black,,,,,,,,,
